node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,selection,true_x,true_y,true_angle,true_selection
334,0.793538194100233,1.60488069902983,0.923316491492853,129.448444139199,-21.0622931247604,1,0,1,6,1.80608877627233,1.04174832893882,1.58893473583649,129.41422720628,-20.6840813021115,2,-0.0186096817412997,-0.999826824877932,4.69377822432434,2
335,-1.45827995891809,0.814931168795573,0.848889374580047,128.252214691585,-21.3753539356448,1,0,1,4,-1.69724246112703,0.896926422285896,2.85088886796243,128.844620948742,-21.1605569627507,0,-0.999890545691281,0.0147951558691496,3.12679695789916,0
336,-2.23534477056389,0.638456619083005,2.82426788304798,128.380681708435,-21.388514827751,0,1,0,3,-2.42855497771219,1.14770240105842,3.681806708793,128.926021636475,-21.5336911225321,3,-0.722161152561768,0.691724851173252,2.3777178670646,3
337,-3.15102889904509,0.38776235907045,0.656750501373131,126.756594280032,-19.2479186847851,1,0,2,1,-2.57525667599545,0.483487052389078,1.59360154485779,126.070713225256,-19.7953129493743,1,0.728886401440799,0.68463465716737,0.75410234652519,1
338,-3.94627212765729,0.510205275883023,0.797684211722279,125.986854899139,-19.2109481167882,1,0,0,2,-4.86458352588123,0.855785159402985,1.54281857397587,125.869734201334,-19.301285335027,2,-0.0412924645342655,0.999147102469244,1.61210053474931,2
339,-8.76289248083622,1.37021531554941,2.30100717207621,124.950221267104,-19.2791895211138,1,1,1,6,-8.91854071460743,1.08734912398904,2.08735980306208,124.935328886184,-19.2161688082775,2,0.0954053167970906,-0.9954385091641,4.80793962587534,2
340,2.88867913499656,2.04949970027811,2.02876758128776,136.455706336076,-17.8600444313087,1,1,1,3,1.78267957784243,1.75542311116213,3.06325048367353,136.773015647114,-17.5357765403365,3,-0.707447651057713,0.706765746915429,2.35667666925416,3
341,2.63343278038425,1.32844346478363,0.868676685038578,139.625814778251,-18.7923876276243,0,0,1,0,1.00456477185232,0.672008271330388,3.43615871567056,138.599030451246,-18.9440161123383,0,0.999977667407318,0.00668316441661921,0.00668321416785989,0
342,2.9882876692394,0.574727203520891,0.836042141494747,143.139979259004,-19.7403178002344,1,0,0,2,2.35289346293385,-0.113435434237912,1.58691412234767,143.129980747553,-19.8461044882824,2,-0.00266866202008585,0.999996439115171,1.57346499198259,2
343,3.20694807268973,0.486557219054859,0.752249359075394,144.577527118738,-19.9729332689263,1,0,0,6,3.44966858258184,0.961301879966028,1.13324330003088,144.786080790611,-19.9234442773317,2,-0.0328403635965981,-0.999460609788522,4.67954271092362,2
344,3.45039612698938,0.411180831344159,0.646356252324698,144.775879910112,-19.9714189125616,1,0,0,1,4.08731673827275,0.34137403402569,1.63829276783274,144.884545476906,-19.9697827193222,1,0.758361088445242,0.651834687272891,0.710001208198696,1
345,1.82754699592491,0.617406185035961,0.926714632593352,141.54346253243,-18.5973073255704,0,0,0,3,2.26835424961588,1.25122336786812,1.35883213604674,141.797457682458,-18.6502146766965,3,-0.719584322854963,0.694405070762998,2.37399985088503,3
346,1.62016489260344,0.337402091697868,0.837702557352126,142.674813975478,-18.2093617373792,1,0,1,2,0.499168077810554,0.961627248180924,1.92063211093084,142.799609603409,-18.402890331039,2,0.00475610101090286,0.999988689687625,1.56604020785292,2
347,4.00734139949179,1.70301848742443,1.01550291464722,135.664449406948,-16.2001857946345,0,0,3,3,3.54980366371946,2.81998315205186,1.82293846855699,136.161483510539,-17.0830978194367,3,-0.723304786880202,0.690528917045612,2.37937260526648,3
348,4.90084074296183,1.17528958295448,0.709218212152821,135.329726174299,-15.3771452720263,1,0,0,5,5.48560588615007,1.16105567145863,0.0993859297896213,134.844099509116,-15.2393301409537,1,-0.784925277826434,-0.619590435876068,3.80981346186234,1
349,1.16906895564497,4.92272153997061,3.38509556378142,129.139240736996,-26.5563299525003,0,1,1,4,1.47446949368223,5.10992217795877,4.86093259338636,130.743364526597,-26.2165073402901,0,-0.99729216581049,-0.0735413897952908,3.21520049466282,0
350,0.180264820703429,4.92614679065555,1.08583689452901,124.00111084994,-26.7465250145277,0,0,3,4,-0.340007327664603,5.53710198939719,3.26535404546506,127.379776393277,-26.2878901908252,0,-0.999823236379313,0.0188014891962636,3.12279005650876,0
351,-1.44332440865295,6.26541104465253,1.08274673125725,121.421621359326,-27.1271166962406,0,0,3,4,-0.65986105136131,6.34905402047083,1.892194103652,122.583625506653,-27.3799417830092,0,-0.999131133676639,0.0416770646523241,3.0999035141415,0
